classe attendue;fichier wav;Cri;Pred. 1;Conf. 1;ok1;Cri;Pred. 2;Conf. 2;ok2;Cri;Pred. 3;Conf. 3;ok3
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072820_000;0;Phacol;16.6;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_071748_000;2;Pelesc;41.4;;1;Sylatr;14.3;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_071822_000;1;Loxcur;19.7;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_071847_000;16;Parmaj;25.0;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_071905_000;19;Phooch;43.4;;18;Parmaj;41.5;;1;noise;27.6;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072001_000;15;noise;76.8;;9;Cicorn;57.9;;7;Hylmer;35.7;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072043_000;39;Turvis;76.7;;40;Hylmer;66.3;;4;Saxrub2;41.1;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072051_000;10;Yerray;84.0;;20;Rhaann;41.7;;1;Turvis;37.5;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072225_000;2;Phooch;34.8;;4;Delurb;28.5;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072234_000;3;Phooch;60.8;;5;Saxrub2;52.5;;5;Apuapu;23.9;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072242_000;0;Erirub;8.8;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072250_000;3;Motalb;85.2;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072257_000;5;Motalb;94.9;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072303_000;5;Motalb;85.5;;2;noise;24.9;;6;Serser;20.4;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072315_000;3;Hylmer;32.7;;1;Pelesc;28.2;;4;Stralu;15.1;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072330_000;9;Serser;98.0;;2;Turmer;19.2;;3;Saxrub2;13.3;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072342_000;16;Serser;93.9;;3;Pelesc;52.0;;4;Regign;34.9;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072352_000;1;Metsau;13.7;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072506_000;0;Erirub;17.0;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072550_000;13;Phooch;50.7;;4;noise;40.5;;5;Anttri;38.6;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072604_000;1;Saxrub2;22.6;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072614_000;1;Turvis;36.7;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072623_000;2;Turvis;68.2;;9;Yerray;50.9;;0;Hylmer;45.5;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072631_000;1;Oriori;46.2;;5;Pelesc;25.2;;0;Regreg;22.5;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072640_000;11;Serser;90.3;;30;Turvis;26.3;;25;Saxrub2;24.4;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072647_000;11;Serser;92.6;;4;Phooch;30.2;;5;Epheph;14.6;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072652_000;13;Serser;95.9;;1;Motalb;34.7;;22;Saxrub2;28.7;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072708_000;7;Yerray;56.6;;2;Motalb;29.8;;5;Lancol;25.7;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072738_000;1;Saxrub2;42.6;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072746_000;4;Apuapu;90.0;;10;Phooch;44.2;;7;Saxrub2;32.6;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072753_000;3;Motalb;63.1;;9;Phooch;60.9;;2;Yerray;47.9;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072806_000;5;Serser;99.8;;2;Saxrub2;38.8;
;Car200200-2021-Pass2-Z1-MU201092-S4U04838_20211006_072820_000;4;Apuapu;87.6;
