Var1;Freq
Accipiter nisus, Épervier d'Europe;10
Actitis hypoleucos, Chevalier guignette;15
Aegithalos caudatus, Orite à longue queue;36
Alauda arvensis, Alouette des champs;14
Alcedo atthis, Martin-pêcheur d'Europe;16
Anas platyrhynchos, Canard colvert;40
Anthus spinoletta, Pipit spioncelle;3
Anthus trivialis, Pipit des arbres;52
Apus apus, Martinet noir;54
Apus melba, Martinet à ventre blanc;3
Ardea cinerea, Héron cendré;145
Ardea purpurea, Héron pourpré;3
Arenaria interpres, Tournepierre à collier;2
Athene noctua, Chevêche d'Athéna;561
Buteo buteo, Buse variable;35
Calidris alpina, Bécasseau variable;25
Carduelis carduelis, Chardonneret élégant;32
Certhia brachydactyla, Grimpereau des jardins;57
Cettia cetti, Bouscarle de Cetti;6
Charadrius dubius, Pluvier petit-gravelot;4
Charadrius hiaticula, Pluvier grand-gravelot;2
Chlidonias hybrida, Guifette moustac;1
Chloris chloris, Verdier d'Europe;1
Chroicocephalus ridibundus, Mouette rieuse;37
Circus aeruginosus, Busard des roseaux;100
Circus pygargus, Busard cendré;20
Cisticola juncidis, Cisticole des joncs;2
Coccothraustes coccothraustes, Gros-bec casse-noyaux;109
Columba oenas, Pigeon colombin;14
Columba palumbus, Pigeon ramier;28
Corvus corax, Grand Corbeau;17
Corvus corone, Corneille noire;226
Corvus monedula, Choucas des tours;4
Curruca communis, Fauvette grisette;7
Curruca iberiae, Fauvette passerinette;8
Curruca melanocephala, Fauvette mélanocéphale;21
Cyanistes caeruleus, Mésange bleue;51
Cygnus olor, Cygne tuberculé;2
Delichon urbicum, Hirondelle de fenêtre;4
Dendrocopos major, Pic épeiche;51
Dendrocoptes medius, Pic mar;21
Dryocopus martius, Pic noir;71
Egretta garzetta, Aigrette garzette;33
Emberiza calandra, Bruant proyer;3
Emberiza cia, Bruant fou;4
Emberiza cirlus, Bruant zizi;25
Emberiza citrinella, Bruant jaune;59
Erithacus rubecula, Rougegorge familier;963
Falco peregrinus, Faucon pèlerin;30
Falco subbuteo, Faucon hobereau;1
Falco tinnunculus, Faucon crécerelle;12
Ficedula hypoleuca, Gobemouche noir;25
Fringilla coelebs, Pinson des arbres;240
Fulica atra, Foulque macroule;14
Gallinula chloropus, Gallinule poule-d'eau;17
Garrulus glandarius, Geai des chênes;21
Hieraaetus pennatus, Aigle botté;2
Hippolais polyglotta, Hypolaïs polyglotte;34
Hirundo rustica, Hirondelle rustique;2
Lanius collurio, Pie-grièche écorcheur;4
Lanius senator, Pie-grièche à tête rousse;1
Larus fuscus, Goéland brun;1
Larus michahellis, Goéland leucophée;1
Linaria cannabina, Linotte mélodieuse;2
Lophophanes cristatus, Mésange huppée;16
Loxia curvirostra, Bec-croisé des sapins;4
Lullula arborea, Alouette lulu;23
Luscinia megarhynchos, Rossignol philomèle;368
Mareca strepera, Canard chipeau;2
Merops apiaster, Guêpier d'Europe;14
Milvus migrans, Milan noir;7
Milvus milvus, Milan royal;4
Motacilla alba, Bergeronnette grise;16
Motacilla cinerea, Bergeronnette des ruisseaux;2
Motacilla flava, Bergeronnette printanière;1
Muscicapa striata, Gobemouche gris;118
Numenius arquata, Courlis cendré;7
Nycticorax nycticorax, Bihoreau gris;28
Oriolus oriolus, Loriot d'Europe;58
Pandion haliaetus, Balbuzard pêcheur;1
Parus major, Mésange charbonnière;82
Passer domesticus, Moineau domestique;82
Passer montanus, Moineau friquet;1
Periparus ater, Mésange noire;9
Pernis apivorus, Bondrée apivore;2
Petronia petronia, Moineau soulcie;1
Phalacrocorax carbo, Grand Cormoran;14
Phoenicopterus roseus, Flamant rose;1
Phoenicurus ochruros, Rougequeue noir;177
Phoenicurus phoenicurus, Rougequeue à front blanc;84
Phylloscopus bonelli, Pouillot de Bonelli;22
Phylloscopus collybita, Pouillot véloce;14
Phylloscopus trochilus, Pouillot fitis;2
Pica pica, Pie bavarde;120
Picus sharpei, Pic de Sharpe;1
Picus viridis, Pic vert;51
Podiceps cristatus, Grèbe huppé;3
Poecile palustris, Mésange nonnette;75
Prunella modularis, Accenteur mouchet;29
Ptyonoprogne rupestris, Hirondelle de rochers;2
Pyrrhocorax pyrrhocorax, Crave à bec rouge;1
Pyrrhula pyrrhula, Bouvreuil pivoine;20
Rallus aquaticus, Râle d'eau;10
Recurvirostra avosetta, Avocette élégante;16
Regulus ignicapilla, Roitelet triple-bandeau;94
Riparia riparia, Hirondelle de rivage;2
Saxicola rubetra, Tarier des prés;8
Saxicola rubicola, Tarier pâtre;9
Serinus serinus, Serin cini;95
Sitta europaea, Sittelle torchepot;39
Spatula clypeata, Canard souchet;1
Streptopelia decaocto, Tourterelle turque;28
Streptopelia turtur, Tourterelle des bois;3
Sylvia atricapilla, Fauvette à tête noire;565
Tachybaptus ruficollis, Grèbe castagneux;9
Tadorna tadorna, Tadorne de Belon;10
Tringa nebularia, Chevalier aboyeur;24
Tringa ochropus, Chevalier cul-blanc;32
Tringa totanus, Chevalier gambette;4
Troglodytes troglodytes, Troglodyte mignon;418
Turdus merula, Merle noir;548
Turdus philomelos, Grive musicienne;167
Turdus viscivorus, Grive draine;62
Vanellus vanellus, Vanneau huppé;9
